Date,Open,High,Low,Close,Adj Close,Volume
2011-05-01,27.697001,28.857000,26.799999,28.705000,25.182144,184254000
2011-06-01,28.660000,30.981001,25.834000,30.134001,26.435766,281178000
2011-07-01,30.048000,32.228001,29.959999,30.325001,26.603329,221100000
2011-08-01,30.823999,34.042000,29.167000,32.971001,29.062561,412033000
2011-09-01,33.013000,36.194000,31.152000,31.716000,27.956331,354505000
2011-10-01,31.450001,35.599998,29.301001,34.723999,30.607763,258240000
2011-11-01,33.674000,37.470001,33.335999,37.455002,33.176777,231543000
2011-12-01,37.241001,38.499001,35.799999,37.282001,33.023540,171559000
2012-01-01,37.837002,37.863998,33.625999,35.556999,31.495577,247969000
2012-02-01,35.824001,42.856998,35.599998,42.000000,37.359943,231255000
2012-03-01,42.249001,43.756001,40.627998,42.054001,37.407978,165343000
2012-04-01,42.183998,46.234001,41.900002,45.227001,40.230434,176358000
2012-05-01,45.584999,46.698002,39.419998,40.651001,36.409348,248390000
2012-06-01,39.861000,43.573002,38.990002,43.011002,38.523087,159627000
2012-07-01,43.507000,44.799999,40.470001,43.657001,39.101692,173875000
2012-08-01,42.409000,43.314999,41.318001,42.290001,38.136318,155902000
2012-09-01,41.754002,46.179001,41.754002,45.147999,40.713596,129350000
2012-10-01,45.318001,48.608002,44.737999,46.092999,41.565781,166706000
2012-11-01,46.341000,49.075001,45.356998,48.868000,44.630096,137869000
2012-12-01,49.099998,49.862000,47.386002,49.127998,44.867546,131857000
2013-01-01,50.630001,53.535000,50.099998,51.840000,47.344364,194340000
2013-02-01,52.081001,52.648998,50.736000,51.782001,47.570683,121395000
2013-03-01,51.500000,54.195999,50.816002,54.112999,49.712109,115966000
2013-04-01,54.243999,55.292999,51.855999,55.292999,50.796135,114077000
2013-05-01,53.876999,58.900002,53.379002,57.025002,52.982342,121070000
2013-06-01,57.133999,59.188999,55.706001,57.450001,53.377209,139582000
2013-07-01,57.861000,62.623001,56.702000,61.061001,56.732212,157692000
2013-08-01,61.874001,65.697998,60.359001,60.608002,56.893700,141614000
2013-09-01,61.200001,69.500999,61.049000,67.278000,63.154930,122500000
2013-10-01,67.442001,73.782997,64.744003,71.709999,67.315315,124473000
2013-11-01,72.394997,76.514999,71.962997,76.081001,72.060570,89923000
2013-12-01,76.081001,83.938004,74.405998,83.545998,79.131096,161933000
2014-01-01,83.740997,84.748001,71.750000,75.680000,71.680763,194429100
2014-02-01,76.050003,78.669998,72.110001,77.720001,74.605659,129614900
2014-03-01,76.529999,79.830002,72.349998,74.699997,71.706673,125655600
2014-04-01,75.250000,75.550003,68.680000,73.550003,70.602768,146992700
2014-05-01,75.570000,77.889999,72.519997,76.449997,73.498566,89928000
2014-06-01,76.769997,77.879997,72.449997,73.470001,70.633606,96035300
2014-07-01,74.199997,79.220001,73.809998,74.150002,71.287361,97352100
2014-08-01,73.839996,77.849998,73.639999,75.809998,72.987892,73980300
2014-09-01,75.930000,78.370003,73.790001,73.919998,71.168243,94471000
2014-10-01,73.820000,84.830002,69.639999,83.750000,80.632301,146738900
2014-11-01,83.820000,87.889999,82.699997,87.290001,84.164787,80347500
2014-12-01,86.559998,89.870003,82.050003,86.160004,83.075256,92766800
2015-01-01,86.680000,87.360001,79.820000,82.029999,79.093102,109225700
2015-02-01,81.709999,93.000000,80.580002,90.129997,87.070770,105921700
2015-03-01,89.559998,92.949997,86.389999,86.389999,83.457710,103125200
2015-04-01,86.730003,93.589996,85.370003,90.209999,87.148048,98374300
2015-05-01,90.360001,94.500000,89.959999,92.260002,89.292053,77506900
2015-06-01,92.400002,96.309998,91.300003,93.480003,90.472816,74506800
2015-07-01,94.470001,98.820000,92.129997,97.400002,94.266716,95962500
2015-08-01,97.739998,99.180000,74.610001,94.050003,91.178825,103708700
2015-09-01,90.059998,94.839996,88.019997,90.120003,87.368790,99903000
2015-10-01,90.570000,101.650002,88.919998,98.989998,95.968002,82241400
2015-11-01,98.900002,101.760002,96.500000,97.919998,95.092667,73093200
2015-12-01,98.209999,100.800003,94.500000,97.360001,94.548828,76734100
2016-01-01,95.370003,95.830002,81.000000,89.029999,86.459366,130554800
2016-02-01,88.519997,89.199997,78.519997,86.919998,84.579460,102226300
