Date,GS,AAPL,AXP,BAC,MSFT,UNH,JPM,INTC
7/1/11,118.437042,48.421799,44.001553,8.709893,22.230259,43.108112,31.418932,17.089418
8/1/11,101.98381,47.721169,43.711372,7.328507,21.581202,41.275391,29.353411,15.405735
9/1/11,83.219154,47.285904,39.481815,5.496421,20.321293,40.059357,23.539001,16.491201
10/1/11,96.421585,50.195084,44.511547,6.134079,21.741907,41.82769,27.165194,18.964113
11/1/11,84.3722,47.395027,42.418705,4.885708,20.88464,42.507545,24.41634,19.250048
12/1/11,79.900955,50.222366,41.650497,5.00333,21.354488,44.172268,26.213858,18.906477
1/1/12,98.491211,56.606174,44.272968,6.41614,24.291142,45.292336,29.406826,20.598314
2/1/12,101.733917,67.265724,46.875557,7.172039,26.109074,48.755508,31.158987,20.956951
3/1/12,110.22113,74.347702,51.280399,8.622465,26.711521,51.54528,36.510963,22.098909
4/1/12,102.050049,72.416931,53.363163,7.307022,26.512798,49.248875,34.128788,22.318956
5/1/12,84.812759,71.641876,49.652428,6.622269,24.169538,48.915577,26.495461,20.307108
6/1/12,85.360634,72.419403,51.76907,7.380008,25.494946,51.310059,28.557552,21.095488
7/1/12,89.848587,75.737808,51.324398,6.62216,24.561493,44.976017,28.773352,20.343487
8/1/12,94.140648,82.493645,52.025311,7.208592,25.686636,47.801872,29.932011,19.654819
9/1/12,101.673729,83.079475,50.740311,7.966443,24.967503,48.77903,32.623798,18.094233
10/1/12,109.463837,74.140106,49.946083,8.419042,23.943966,49.497646,33.590912,17.271765
11/1/12,105.349655,72.889748,50.058716,8.906844,22.333174,48.074577,33.351875,15.626832
12/1/12,114.571571,66.578217,51.47361,10.487673,22.592806,47.942013,35.698185,16.634935
1/1/13,132.804596,56.985012,52.664635,10.236035,23.218744,48.993435,38.198765,16.973772
2/1/13,134.511139,55.22226,55.849957,10.154652,23.514791,47.431606,39.989815,16.844685
3/1/13,132.615952,55.702641,60.621685,11.023591,24.400293,50.768227,38.796337,17.808521
4/1/13,131.64267,55.717735,61.475372,11.141248,28.22963,53.388885,40.063396,19.529034
5/1/13,146.071365,56.592308,68.237152,12.363073,29.764772,55.794182,44.903797,19.798113
6/1/13,136.741791,50.228096,67.380951,11.639028,29.664309,58.333122,43.423183,19.943462
7/1/13,148.295929,57.321556,66.488625,13.223724,27.345446,65.47139,45.841522,19.210911
8/1/13,137.537354,61.715725,65.009918,12.788973,28.685232,64.473839,41.867287,18.091511
9/1/13,143.502457,60.788208,68.273521,12.499139,28.783575,64.356987,42.828419,19.049805
10/1/13,145.906113,66.647102,73.950943,12.662001,30.625797,61.577332,42.704144,20.338078
11/1/13,153.23497,70.901947,77.802773,14.33878,32.978317,67.188385,47.759655,19.814463
12/1/13,161.309479,71.950768,82.27327,14.112189,32.600952,67.928108,48.811333,21.778467
1/1/14,149.351898,64.201897,77.09549,15.191483,32.975685,65.452324,46.207176,20.587196
2/1/14,151.472183,67.490189,82.985603,14.991953,33.385273,69.970963,47.735973,20.771759
3/1/14,149.609528,69.248878,81.849159,15.599612,35.988625,74.245102,51.004055,21.859102
4/1/14,145.929764,76.131958,79.485428,13.739499,35.470604,68.197121,47.030254,22.604401
5/1/14,145.920609,81.668098,83.395988,13.739499,35.944717,72.368553,46.980053,23.137962
6/1/14,153.409058,84.395966,86.467514,13.948222,36.870274,74.29525,48.713165,26.394821
7/1/14,158.384033,86.820778,80.205963,13.84823,38.161182,74.005241,48.755451,28.948881
8/1/14,164.101135,93.087128,81.843712,14.611015,40.168255,79.145882,50.611645,29.828707
9/1/14,168.709,91.95295,80.006683,15.482771,41.246563,78.753242,51.284199,29.941137
10/1/14,174.609253,98.569885,82.209297,15.630701,41.771484,87.120758,51.488522,29.244635
11/1/14,173.157196,108.54554,84.718346,15.521393,42.536636,90.440155,51.561157,32.030663
12/1/14,178.707169,101.178932,85.286697,16.295637,41.587284,92.695885,53.635265,31.409779
1/1/15,158.958389,107.393768,73.965836,13.84018,36.17065,97.794792,46.607315,28.596827
2/1/15,174.982361,117.751808,75.010887,14.443121,39.259472,104.587502,52.85894,28.778593
3/1/15,173.84845,114.507881,71.820717,14.059431,36.662495,108.876656,52.255142,27.258987
4/1/15,181.66362,115.170479,71.442711,14.59825,43.857941,102.878006,54.566849,28.374804
5/1/15,190.699646,119.891411,73.536636,15.120597,42.252941,111.014038,57.117687,30.039801
6/1/15,193.706589,115.910301,71.691788,15.597126,40.0681,112.667107,58.836956,26.709776
7/1/15,190.255325,112.09375,70.423035,16.434378,42.382339,112.587868,59.50555,25.419064
8/1/15,175.541061,104.349785,71.034119,15.110799,39.496338,107.301605,56.022709,25.059071
9/1/15,161.762894,102.389992,68.63607,14.320333,40.432808,107.589119,53.287121,26.683771
10/1/15,174.55426,110.930237,67.830551,15.472969,48.088177,109.703125,56.153805,29.977188
11/1/15,176.900253,109.816284,66.581673,16.072336,49.650314,104.980812,58.698101,30.782825
12/1/15,168.360748,98.129669,64.639244,15.519072,51.024227,109.572716,58.1259,30.714378
1/1/16,150.920303,90.746178,49.722496,13.075312,50.665543,107.726097,52.377575,27.656315
2/1/16,139.68251,90.140213,51.881706,11.577291,46.793667,111.411743,49.893093,26.381374
3/1/16,147.279037,102.158356,57.314445,12.501996,51.158993,120.579132,52.480804,29.095947
4/1/16,153.96846,87.864235,61.076286,13.51492,46.19408,123.688011,56.007893,27.234171
5/1/16,149.624573,93.600647,61.681522,13.728414,49.09338,125.557251,58.270561,28.412395
6/1/16,139.969528,90.153221,56.991611,12.317511,47.729782,132.630234,55.476215,29.755508
7/1/16,149.60672,98.272682,60.766499,13.495568,52.869335,135.121353,57.109982,31.624298
8/1/16,159.639511,100.055,61.822315,15.032331,53.596901,128.374771,60.730537,32.558693
9/1/16,152.518234,107.186554,60.370567,14.643795,54.062355,132.101883,59.911797,34.505634
10/1/16,168.567337,107.651123,62.614182,15.439146,56.239861,133.972687,62.314026,31.87315
11/1/16,207.389648,104.78775,68.253929,19.762106,56.558979,150.078232,72.654205,31.717768
12/1/16,227.157562,110.376678,70.186707,21.685604,58.717522,152.312744,77.475471,33.403847
1/1/17,217.547546,115.646774,72.365822,21.26297,61.089279,154.273315,76.696121,33.910385
2/1/17,235.325531,130.551743,76.175934,23.178896,60.456188,157.394943,82.578964,33.339382
3/1/17,218.496658,137.501846,75.272018,22.155191,62.609928,156.091095,80.045654,33.456799
4/1/17,212.865906,137.492264,75.405228,21.987217,65.081627,167.05661,79.28019,33.531006
5/1/17,200.938538,146.211731,73.507874,21.111115,66.393517,167.343185,75.724319,33.493908
6/1/17,211.769272,138.415375,80.482239,22.928953,65.90403,177.125092,84.250801,31.528423
7/1/17,215.042664,142.942078,81.428078,22.796638,69.50853,183.985916,84.619514,33.145027
8/1/17,213.525238,157.617828,82.569748,22.579252,71.487656,190.786728,84.241516,32.771244
9/1/17,227.134277,148.703979,86.750977,24.072201,71.599403,187.86113,88.523582,35.851074
10/1/17,232.199997,163.09967,91.603516,26.019638,79.952187,202.410202,93.250526,42.827343
11/1/17,237.141281,165.810959,94.065468,26.760612,80.903763,203.286423,97.440788,42.215385
12/1/17,244.726044,163.869995,95.605774,28.162571,82.633545,212.986496,99.696892,43.715664
1/1/18,257.338959,162.127014,95.692429,30.528532,91.781754,228.753265,107.835609,45.590816
2/1/18,252.574295,172.478439,94.204132,30.623936,90.583893,218.493271,108.238037,46.67992
3/1/18,242.619415,163.128311,90.117538,28.61096,88.583,206.745468,103.05574,49.656803
4/1/18,229.585815,160.678177,95.402092,28.651285,90.766754,229.142288,101.940552,49.218201
5/1/18,217.592606,181.689041,95.323898,27.808603,95.930138,234.095428,100.790375,52.631626
6/1/18,213.228806,180.671844,95.032967,27.10494,96.12175,237.807816,98.143684,47.670624
7/1/18,229.527634,185.727646,96.506927,29.691397,103.403252,246.314117,108.268875,46.126663
8/1/18,229.895004,222.172409,103.140327,29.739475,109.495544,261.138458,108.506859,46.44313
9/1/18,217.494553,221.100433,103.63665,28.326056,111.913086,258.784515,106.859077,45.625694
10/1/18,218.59053,214.361847,99.977402,26.569317,104.515488,255.08017,103.241554,45.230122
11/1/18,184.953766,174.909714,109.656113,27.438856,108.507858,274.610107,106.033913,47.574604
12/1/18,162.68103,155.037109,93.100761,23.806107,99.817421,243.920502,93.093178,45.563309
1/1/19,192.831314,163.587997,100.308929,27.66021,102.628075,264.560547,98.700508,45.74778
2/1/19,191.555557,170.183029,105.66227,28.252861,110.096939,237.164536,100.328835,51.417706
3/1/19,187.723816,187.495865,107.192184,26.942099,116.399963,242.099335,97.31974,52.466637
4/1/19,201.344254,198.077362,114.969269,29.861881,128.894653,229.076523,111.567276,49.867725
5/1/19,178.434921,172.808105,112.896111,25.975346,122.06501,237.656952,102.646507,43.0285
6/1/19,200.955261,196.115219,121.48806,28.318987,132.70018,239.829071,108.303879,47.056965
7/1/19,216.208618,211.097366,122.403351,30.12142,134.988449,245.82724,112.372536,49.691444
8/1/19,200.277557,206.836563,118.837082,27.009134,136.563492,231.009079,107.178001,46.604774
9/1/19,204.815826,222.770889,116.773697,28.63891,138.181091,214.542282,114.816841,50.996807
10/1/19,210.894196,247.428162,115.786423,30.903025,142.494583,250.646515,121.870331,55.945072
11/1/19,218.771347,265.819183,119.043831,32.928967,150.455688,277.595703,129.573059,57.449345
12/1/19,228.532684,292.954712,123.374672,34.806671,157.270432,291.591064,137.086258,59.556702
1/1/20,236.305161,308.777191,128.706467,32.621849,169.766296,271.274963,130.163101,63.616711
2/1/20,199.549896,272.712769,109.322731,28.319302,161.568695,253.860382,114.915863,55.247925
3/1/20,154.589996,254.289993,85.137077,21.095396,157.710007,248.304443,89.10408,54.119999
4/1/20,177.039993,273.25,89.831001,23.92,165.509995,263.51001,86.431854,60.790001
